account_number,meter_id,site_name,bill_start,bill_end,days,usage_kwh,peak_demand_kw,total_cost_inr,tariff_code,utility
ACC1001,MTR001,Mumbai Plant A,2026-01-02,2026-02-01,30,12500,320,145000,HT_IND,MSEDCL
ACC1002,MTR002,Mumbai Plant A,2026-02-02,2026-03-03,29,13200,340,152000,HT_IND,MSEDCL
ACC1003,MTR003,Delhi Office HQ,2026-01-10,2026-02-09,30,5400,110,62000,COM_B,BSES
ACC1004,MTR004,Delhi Office HQ,2026-02-10,2026-03-12,30,5100,105,59000,COM_B,BSES
ACC1005,MTR005,Pune Warehouse,2026-01-05,2026-02-04,30,8700,210,98000,IND_LT,MSEDCL
ACC1006,MTR006,Pune Warehouse,2026-02-05,2026-03-06,29,9100,225,102000,IND_LT,MSEDCL
ACC1007,MTR007,Chennai Factory,2026-01-12,2026-02-11,30,14500,390,172000,HT_IND,TANGEDCO
ACC1008,MTR008,Chennai Factory,2026-02-12,2026-03-13,29,14900,405,178000,HT_IND,TANGEDCO
ACC1009,MTR009,Hyderabad Office,2026-01-08,2026-02-07,30,,95,47000,COM_A,TSSPDCL
ACC1010,MTR010,Hyderabad Office,2026-02-08,2026-03-09,29,4200,88,45000,COM_A,TSSPDCL
